study,soil,dataset,ecosystem,climate,soil.t,mdw,mvol,mps,mwplog,mwp,bd,c.org,ps,clay,silt,sand,ph,n.org,CtoN,som,pd,co2.rel,co2.dw,co2.om
Franzluebers_1999,FARM_02,FARM_n,Grassland,Temperate,25,0.32,0.373,0.666,0.446,2.79,1.166,0.015,0.554,0.12,0.12,0.76,6.1,0.001,14.52,0.03,2.61,0.978,1.147,75.97
Franzluebers_1999,FARM_02,FARM_n,Grassland,Temperate,25,0.388,0.448,0.794,0.42,2.63,1.155,0.015,0.558,0.12,0.12,0.76,6.1,0.001,14.52,0.03,2.61,1.055,1.192,78.926
Franzluebers_1999,FARM_02,FARM_n,Grassland,Temperate,25,0.456,0.508,0.876,0.164,1.46,1.114,0.015,0.574,0.12,0.12,0.76,6.1,0.001,14.52,0.03,2.61,0.626,0.612,40.556
Franzluebers_1999,FARM_03,FARM_n,Grassland,Temperate,25,0.046,0.049,0.081,3.692,4917.78,1.055,0.02,0.595,0.175,0.165,0.66,5.8,0.0015,13.38,0.04,2.6,0.272,0.376,18.631
Franzluebers_1999,FARM_03,FARM_n,Grassland,Temperate,25,0.114,0.132,0.234,2.829,674.38,1.157,0.02,0.555,0.175,0.165,0.66,5.8,0.0015,13.38,0.04,2.6,0.576,0.836,41.381
Franzluebers_1999,FARM_03,FARM_n,Grassland,Temperate,25,0.182,0.2,0.343,1.544,35.01,1.101,0.02,0.577,0.175,0.165,0.66,5.8,0.0015,13.38,0.04,2.6,0.927,1.357,67.195
Franzluebers_1999,FARM_03,FARM_n,Grassland,Temperate,25,0.228,0.256,0.443,1.093,12.4,1.121,0.02,0.569,0.175,0.165,0.66,5.8,0.0015,13.38,0.04,2.6,0.834,1.211,59.932
Franzluebers_1999,FARM_03,FARM_n,Grassland,Temperate,25,0.274,0.291,0.487,0.58,3.8,1.064,0.02,0.591,0.175,0.165,0.66,5.8,0.0015,13.38,0.04,2.6,0.952,1.325,65.573
Franzluebers_1999,FARM_03,FARM_n,Grassland,Temperate,25,0.32,0.331,0.544,0.468,2.94,1.035,0.02,0.602,0.175,0.165,0.66,5.8,0.0015,13.38,0.04,2.6,0.883,1.219,60.37
Franzluebers_1999,FARM_03,FARM_n,Grassland,Temperate,25,0.388,0.412,0.687,0.316,2.07,1.062,0.02,0.592,0.175,0.165,0.66,5.8,0.0015,13.38,0.04,2.6,0.91,1.324,65.537
Franzluebers_1999,FARM_03,FARM_n,Grassland,Temperate,25,0.456,0.487,0.816,0.14,1.38,1.068,0.02,0.59,0.175,0.165,0.66,5.8,0.0015,13.38,0.04,2.6,1.036,1.404,69.504
Franzluebers_1999,FARM_04,FARM_n,Grassland,Temperate,25,0.046,0.056,0.104,3.591,3895.91,1.217,0.011,0.537,0.19,0.1,0.71,5.9,0.0007,15.07,0.02,2.63,0.472,0.496,46.32
Franzluebers_1999,FARM_04,FARM_n,Grassland,Temperate,25,0.114,0.14,0.26,2.259,181.56,1.226,0.011,0.533,0.19,0.1,0.71,5.9,0.0007,15.07,0.02,2.63,0.898,0.934,87.279
Franzluebers_1999,FARM_04,FARM_n,Grassland,Temperate,25,0.182,0.238,0.468,0.925,8.42,1.306,0.011,0.503,0.19,0.1,0.71,5.9,0.0007,15.07,0.02,2.63,0.931,0.999,93.409
Franzluebers_1999,FARM_04,FARM_n,Grassland,Temperate,25,0.228,0.304,0.612,0.69,4.9,1.333,0.011,0.492,0.19,0.1,0.71,5.9,0.0007,15.07,0.02,2.63,0.928,0.983,91.901
Franzluebers_1999,FARM_04,FARM_n,Grassland,Temperate,25,0.274,0.35,0.677,0.382,2.41,1.279,0.011,0.513,0.19,0.1,0.71,5.9,0.0007,15.07,0.02,2.63,1.001,1.058,98.913
Franzluebers_1999,FARM_04,FARM_n,Grassland,Temperate,25,0.32,0.409,0.791,0.255,1.8,1.279,0.011,0.513,0.19,0.1,0.71,5.9,0.0007,15.07,0.02,2.63,1.016,1.084,101.301
Franzluebers_1999,FARM_04,FARM_n,Grassland,Temperate,25,0.388,0.453,0.811,0.137,1.37,1.168,0.011,0.555,0.19,0.1,0.71,5.9,0.0007,15.07,0.02,2.63,0.891,0.882,82.46
Franzluebers_1999,FARM_04,FARM_n,Grassland,Temperate,25,0.456,0.504,0.866,0.196,1.57,1.106,0.011,0.579,0.19,0.1,0.71,5.9,0.0007,15.07,0.02,2.63,0.653,0.595,55.63
Franzluebers_1999,FARM_05,FARM_n,Grassland,Temperate,25,0.046,0.049,0.083,3.795,6231.05,1.071,0.013,0.591,0.26,0.17,0.57,6,0.0009,13.94,0.02,2.62,0.152,0.205,15.68
Franzluebers_1999,FARM_05,FARM_n,Grassland,Temperate,25,0.114,0.124,0.212,3.313,2054.09,1.092,0.013,0.583,0.26,0.17,0.57,6,0.0009,13.94,0.02,2.62,0.48,0.651,49.692
Franzluebers_1999,FARM_05,FARM_n,Grassland,Temperate,25,0.182,0.206,0.359,1.683,48.18,1.131,0.013,0.568,0.26,0.17,0.57,6,0.0009,13.94,0.02,2.62,0.722,0.96,73.31
Franzluebers_1999,FARM_05,FARM_n,Grassland,Temperate,25,0.228,0.246,0.416,1.373,23.62,1.08,0.013,0.588,0.26,0.17,0.57,6,0.0009,13.94,0.02,2.62,0.821,1.076,82.144
Franzluebers_1999,FARM_05,FARM_n,Grassland,Temperate,25,0.274,0.292,0.489,0.725,5.31,1.066,0.013,0.593,0.26,0.17,0.57,6,0.0009,13.94,0.02,2.62,0.874,1.132,86.447
Franzluebers_1999,FARM_05,FARM_n,Grassland,Temperate,25,0.32,0.334,0.551,0.647,4.44,1.044,0.013,0.602,0.26,0.17,0.57,6,0.0009,13.94,0.02,2.62,0.894,1.167,89.089
Franzluebers_1999,FARM_05,FARM_n,Grassland,Temperate,25,0.388,0.419,0.707,0.539,3.46,1.08,0.013,0.588,0.26,0.17,0.57,6,0.0009,13.94,0.02,2.62,1.013,1.316,100.421
Franzluebers_1999,FARM_05,FARM_n,Grassland,Temperate,25,0.456,0.481,0.799,0.111,1.29,1.055,0.013,0.597,0.26,0.17,0.57,6,0.0009,13.94,0.02,2.62,1.014,1.281,97.818
Franzluebers_1999,FARM_06,FARM_n,Grassland,Temperate,25,0.046,0.056,0.104,3.398,2503.14,1.217,0.014,0.535,0.1,0.125,0.775,6.5,0.0009,15.45,0.02,2.62,0.475,0.618,45.409
Franzluebers_1999,FARM_06,FARM_n,Grassland,Temperate,25,0.114,0.135,0.244,1.647,44.39,1.185,0.014,0.548,0.1,0.125,0.775,6.5,0.0009,15.45,0.02,2.62,0.716,0.894,65.759
Franzluebers_1999,FARM_06,FARM_n,Grassland,Temperate,25,0.182,0.231,0.443,0.799,6.29,1.269,0.014,0.515,0.1,0.125,0.775,6.5,0.0009,15.45,0.02,2.62,1.518,1.962,144.228
Franzluebers_1999,FARM_06,FARM_n,Grassland,Temperate,25,0.228,0.28,0.522,0.647,4.44,1.229,0.014,0.531,0.1,0.125,0.775,6.5,0.0009,15.45,0.02,2.62,0.938,1.091,80.223
Franzluebers_1999,FARM_06,FARM_n,Grassland,Temperate,25,0.274,0.324,0.585,0.529,3.38,1.182,0.014,0.549,0.1,0.125,0.775,6.5,0.0009,15.45,0.02,2.62,1.186,1.467,107.864
Franzluebers_1999,FARM_06,FARM_n,Grassland,Temperate,25,0.32,0.365,0.642,0.373,2.36,1.142,0.014,0.564,0.1,0.125,0.775,6.5,0.0009,15.45,0.02,2.62,0.896,1.079,79.348
Franzluebers_1999,FARM_06,FARM_n,Grassland,Temperate,25,0.388,0.463,0.842,0.246,1.76,1.193,0.014,0.544,0.1,0.125,0.775,6.5,0.0009,15.45,0.02,2.62,0.806,0.912,67.095
Franzluebers_1999,FARM_06,FARM_n,Grassland,Temperate,25,0.456,0.498,0.847,0.045,1.11,1.092,0.014,0.583,0.1,0.125,0.775,6.5,0.0009,15.45,0.02,2.62,0.438,0.473,34.769
Franzluebers_1999,FARM_07,FARM_n,Grassland,Temperate,25,0.046,0.054,0.097,3.506,3209.72,1.171,0.021,0.55,0.16,0.17,0.67,6.6,0.0013,16.06,0.04,2.6,0.337,0.429,20.237
Franzluebers_1999,FARM_07,FARM_n,Grassland,Temperate,25,0.114,0.126,0.217,2.549,354.26,1.106,0.021,0.575,0.16,0.17,0.67,6.6,0.0013,16.06,0.04,2.6,0.554,0.73,34.413
Franzluebers_1999,FARM_07,FARM_n,Grassland,Temperate,25,0.182,0.207,0.364,1.336,21.67,1.139,0.021,0.562,0.16,0.17,0.67,6.6,0.0013,16.06,0.04,2.6,0.809,1.046,49.316
Franzluebers_1999,FARM_07,FARM_n,Grassland,Temperate,25,0.228,0.251,0.428,0.787,6.13,1.099,0.021,0.577,0.16,0.17,0.67,6.6,0.0013,16.06,0.04,2.6,0.931,1.199,56.544
Franzluebers_1999,FARM_07,FARM_n,Grassland,Temperate,25,0.274,0.302,0.518,0.647,4.44,1.104,0.021,0.576,0.16,0.17,0.67,6.6,0.0013,16.06,0.04,2.6,0.866,1.125,53.042
Franzluebers_1999,FARM_07,FARM_n,Grassland,Temperate,25,0.32,0.327,0.531,0.609,4.06,1.02,0.021,0.608,0.16,0.17,0.67,6.6,0.0013,16.06,0.04,2.6,1.024,1.279,60.336
Franzluebers_1999,FARM_07,FARM_n,Grassland,Temperate,25,0.388,0.424,0.72,0.201,1.59,1.092,0.021,0.58,0.16,0.17,0.67,6.6,0.0013,16.06,0.04,2.6,0.991,1.238,58.398
Franzluebers_1999,FARM_07,FARM_n,Grassland,Temperate,25,0.456,0.477,0.788,0.405,2.54,1.046,0.021,0.598,0.16,0.17,0.67,6.6,0.0013,16.06,0.04,2.6,0.898,0.982,46.334
