year,month,temp_surf,precip,moisture_upper_soil
2046,3,299.9824829102,455.5664788932,40.4909858704
2046,4,299.7649536133,303.0780369882,39.5760002136
2046,5,299.576965332,248.0019363575,38.0050468445
2046,6,299.505065918,82.6313128928,40.0004196167
2046,7,300.3792114258,19.9828332989,39.215385437
2046,8,300.8679199219,85.2705939906,37.0979423523
2046,9,301.5170898438,106.9815221708,38.8550415039
2046,10,301.395690918,150.0929547474,38.053894043
2046,11,301.4102783203,137.6701947302,38.8282585144
2046,12,300.317565918,218.3464129921,40.054485321
2047,1,300.0731811523,248.4025829472,37.8004875183
2047,2,299.7611694336,348.2565977611,38.5795555115
2047,3,300.3546142578,146.7503167223,40.3986358643
2047,4,299.6857910156,261.5685118362,38.6897392273
2047,5,299.7659912109,328.0388438143,38.6268844604
2047,6,299.951171875,128.1175722834,37.5457801819
2047,7,300.0600585938,34.7876620945,29.784406662
2047,8,301.2098388672,19.6072023682,31.0349216461
2047,9,301.7766113281,101.9707712112,27.2933750153
2047,10,301.8888549805,106.2087536557,36.3815803528
2047,11,301.8562011719,119.587368099,39.6617698669
2047,12,300.1390991211,272.4994649179,38.9108009338
2048,1,299.9327392578,363.7097049505,37.7341690063
2048,2,299.6959838867,493.8531978987,39.2571296692
2048,3,299.9810791016,580.3208188154,42.6890068054
2048,4,300.6921386719,181.7321728449,38.4882316589
2048,5,299.9646606445,397.193832323,32.0884208679
2048,6,299.7208251953,75.0974492985,30.0721626282
2048,7,299.9344482422,175.059475936,21.1860485077
2048,8,300.5681152344,27.563055366,19.1333312988
2048,9,301.8257446289,85.1125249173,20.5048694611
2048,10,301.1340332031,173.963959096,25.2952079773
2048,11,301.3384399414,147.9946804466,36.9508094788
2048,12,300.3224487305,324.3959848769,37.6285171509
2049,1,300.1422729492,317.9791895673,40.4807815552
2049,2,299.9348754883,600.8749846369,40.4874000549
2049,3,300.3477783203,435.082054697,41.9925460815
2049,4,299.5381469727,828.2483741641,40.7103729248
2049,5,299.650390625,447.1048470587,38.2068634033
2049,6,299.6605224609,318.6017721891,35.1517410278
2049,7,300.1207885742,197.7523409296,34.8040008545
2049,8,300.1623535156,99.0409534425,32.4995536804
2049,9,300.4460449219,215.1800338179,33.6301460266
2049,10,301.065612793,145.9163781255,38.7708816528
2049,11,300.751159668,186.6503530182,41.0163764954
2049,12,300.1080932617,233.708712738,39.5218963623
2050,1,300.1369628906,424.1111953743,39.2823181152
2050,2,300.3622436523,345.9601406939,39.3732566833
2050,3,300.7905883789,202.4346857797,40.6166992188
2050,4,300.310546875,459.1083275154,40.9962043762
2050,5,300.0163574219,345.5345621333,38.3967933655
2050,6,300.220703125,251.0170075111,35.4096488953
2050,7,300.1680908203,153.1919025583,33.5399742126
2050,8,300.4146728516,117.3953160178,24.0291137695
2050,9,300.8089599609,122.359814588,22.8887195587
2050,10,301.4824829102,79.8708514776,36.2226791382
2050,11,300.9979858398,207.0344081149,40.7882156372
2050,12,300.5199584961,322.9025183246,40.3666954041
2051,1,300.6046142578,261.2959574908,38.4097671509
2051,2,300.0776977539,609.3317130581,36.7819328308
2051,3,300.39453125,301.6620066483,41.2900466919
2051,4,300.139465332,383.6942450143,37.5874404907
2051,5,300.4752807617,200.2923656255,36.3282241821
2051,6,300.2088623047,70.709167805,34.4898223877
2051,7,300.5419921875,118.8703759108,22.8890266418
2051,8,301.4741210938,29.3304577062,19.2726039886
2051,9,302.9364624023,69.291171385,19.376750946
2051,10,302.2190551758,112.8383948235,27.1624736786
2051,11,301.3533935547,234.0481043793,38.4722862244
2051,12,300.5740966797,255.2309632301,39.4483337402
2052,1,300.3542480469,285.1941192057,36.9380378723
2052,2,299.9904785156,222.0084518194,40.7846221924
2052,3,300.0008544922,438.0539758131,40.5904197693
2052,4,299.7899169922,466.5942178108,41.2278938293
2052,5,299.9586791992,301.8294959329,40.9253807068
2052,6,299.8295288086,229.4635826256,39.1760139465
2052,7,300.0315551758,129.7722479794,39.5350189209
2052,8,300.6229248047,111.1371178413,40.1607513428
2052,9,301.2095336914,132.6552192913,37.0347061157
2052,10,300.8889160156,149.1096600657,39.7143974304
2052,11,300.6763916016,258.58976366,38.3840751648
2052,12,300.3704833984,182.4412441347,39.0281677246
2053,1,300.5689697266,267.8978755139,40.5670013428
2053,2,300.6130371094,381.0285986401,37.5492095947
2053,3,300.5363769531,430.1564628258,39.9554748535
2053,4,300.5653686523,267.9399128538,39.6987266541
2053,5,300.318359375,163.9731978066,41.4764022827
2053,6,300.143371582,214.7541535087,39.1573944092
2053,7,300.4196777344,204.2047991417,40.0423851013
2053,8,301.0186767578,53.251361358,39.7391815186
2053,9,301.028137207,138.6966960272,38.6064720154
2053,10,301.4442749023,128.6062068539,39.4490776062
2053,11,301.2326049805,172.726865625,40.1341629028
2053,12,300.387512207,297.7322414517,39.3147926331
2054,1,300.4071044922,361.834413372,39.0547027588
2054,2,300.5288696289,175.7853885647,38.2206726074
2054,3,299.9747924805,501.748975832,38.5948143005
2054,4,299.9376831055,322.2878566012,36.783657074
2054,5,300.1188354492,213.898224989,39.9045982361
2054,6,300.032409668,95.4388588434,35.4887008667
2054,7,300.2900390625,38.1985730783,38.097782135
2054,8,300.9662475586,63.5847816593,36.5868377686
2054,9,302.5336303711,88.2645144593,40.2528800964
2054,10,302.7517089844,75.0146099017,39.2256622314
2054,11,301.9284667969,183.3780223969,39.6642456055
2054,12,300.7997436523,293.4799636714,38.3903427124
2055,1,300.3359375,525.959843304,38.3777770996
2055,2,300.2625732422,296.848306898,37.1923789978
2055,3,300.5337524414,238.922531018,40.4166984558
2055,4,300.121887207,395.0561704114,38.8951530457
2055,5,300.4279785156,231.175232213,38.100227356
2055,6,300.2516479492,199.806569377,32.3624649048
2055,7,300.3053588867,135.265683406,29.5144062042
2055,8,300.78125,146.6705042403,31.6944274902
2055,9,300.8550415039,178.7710392382,31.6263370514
2055,10,300.7553710938,186.0662810504,36.4885025024
2055,11,300.4976806641,177.1663029213,40.3697776794
2055,12,300.2838134766,294.3588250782,40.0078392029
2056,1,300.4612426758,229.7647842206,38.2370109558
2056,2,300.3110351563,337.7529960126,38.5333328247
2056,3,300.2554321289,490.9329134971,40.6606140137
2056,4,299.8956298828,428.1061571091,40.1073608398
2056,5,300.4005737305,372.3998735659,39.9416542053
2056,6,300.3659667969,257.7364754397,38.6182136536
2056,7,300.8192749023,43.7852370087,33.9718093872
2056,8,301.3924560547,39.8931715172,34.2081184387
2056,9,301.8244628906,80.7874408783,34.8134307861
2056,10,301.6265869141,181.5172336064,40.1634254456
2056,11,301.1802368164,220.1428161934,41.3148269653
2056,12,300.8311157227,289.3974382896,39.9028358459
2057,1,300.1645507813,271.268255543,41.6612281799
2057,2,300.3469848633,462.5056008808,38.1713867188
2057,3,300.3447875977,339.2144772224,40.089214325
2057,4,300.2848510742,301.8428860232,39.4156799316
2057,5,300.4234008789,247.4379495252,39.1878471375
2057,6,300.6441650391,192.5470093265,37.8296775818
2057,7,300.4205932617,53.9441665169,39.9767112732
2057,8,301.6817626953,26.7824390321,39.2370986938
2057,9,302.6527099609,56.3682962093,37.8647041321
2057,10,302.8599853516,104.3380071642,40.3674659729
2057,11,302.1742553711,142.0037560165,39.7946662903
2057,12,301.2654418945,366.0158934072,40.6877365112
2058,1,300.4267578125,518.7132395804,37.5601043701
2058,2,300.7203979492,341.2464894354,37.9978103638
2058,3,300.7905883789,404.0105575696,41.5814819336
2058,4,300.5504760742,504.7970507294,38.9110107422
2058,5,300.7863769531,370.3298787586,38.0491027832
2058,6,300.6468505859,246.5336280875,36.4170799255
2058,7,300.9589233398,46.7299441807,34.5115585327
2058,8,301.809753418,77.1814565524,25.9710273743
2058,9,302.266784668,82.3740911437,27.5331172943
2058,10,301.9085693359,204.9332011957,40.183303833
2058,11,302.049987793,98.7012789119,40.001411438
2058,12,301.1533813477,293.9079750795,38.9299964905
2059,1,300.7457275391,502.7527045459,39.6316986084
2059,2,301.0120239258,273.0666389689,39.9100341797
